,ADC1,ADC2,ADC3,ADC4,F1,F2,F3,F4,KE1,KE2,KE3,KE4,W1,W2,W3,W4
1,31.4671005987131,31.4421147486919,31.4640642764808,31.3859203761141,31.1287787348031,31.3399608143111,31.179263291571,31.4008971593148,30.872823613121,30.4562115472905,30.7576173448646,30.7140474947239,31.4022528335539,31.1766148615432,31.1520952117591,31.2115370931438
2,23.8448941788799,24.3963321092666,24.0176485103276,24.071625201526,26.1343858373401,26.5456033974699,26.2417876121245,26.7390231530656,24.3792672362813,24.8080798911819,24.5176966856943,24.5940561868425,23.6301136606593,23.860919430251,24.0955139347292,23.7214529743605
3,29.6848564547763,29.4948289297353,29.4852550487476,29.5932595667408,30.4866970788985,30.9772565218563,31.0943548368434,30.7929915624017,29.6329623868921,29.5539294867039,29.4702034530514,29.5226046733526,29.7870385486753,29.9271511501584,30.0531314081642,29.9587788930021
4,29.8146506564900,29.7331381956232,29.8278478612664,30.0409632866204,29.2724872173072,29.0860723161894,28.8268477388296,29.8624927276739,29.1796106318447,29.0128605442841,29.4488902263273,29.3030385975439,29.6863613321605,29.8339090203349,29.6145111934383,29.4912184540662
5,29.3217093447662,29.0967416397173,29.1362729790046,29.3107760365119,29.2793697225454,29.3246390936062,29.3026620203411,27.7896291635074,28.5029989057559,28.6985398621055,28.5772141809552,28.4191470511833,29.5584142543548,29.4070164100331,29.4716257936872,29.8850435419248
6,26.4335217755894,26.6177145352022,26.2852654417774,27.0824982474309,26.9780424121924,27.1350410270128,26.7117972392351,26.9204193215596,25.5237465948627,25.7331362490287,26.3032687292928,25.8116484268159,26.5219072947902,26.8356115318105,26.6251354076258,26.6298457657735
7,26.5902516827415,26.977485797098,26.4823752768593,26.9926872433013,27.0863858148953,27.2032324708753,26.8526921214445,27.3549895927848,26.0171519684379,26.2505203976069,26.2006988956743,26.1766287382809,27.1998119174033,27.4385980370618,27.6886696924093,27.3471203531256
8,28.5899648701486,28.9801775021047,28.6323630096444,28.6678946181024,27.9786057449212,27.5354185298898,27.7758506585426,27.8566250666463,28.2808583242964,28.4523777843576,28.2472575501377,28.3580063412084,28.5158724759842,28.3639165832479,28.3481650195049,28.360545921263
9,26.8973079249352,26.9080388381582,26.9246761847186,26.822677052188,26.7729684602171,26.646376647727,26.4991818549896,26.5835730370663,26.9467159163091,27.1543952591901,26.9838673690639,27.0343214554368,27.2522507859918,27.0811197952405,27.3495522723644,27.2300771464033
10,28.2499608784455,28.3281925319048,28.1698615246107,28.0831850650390,27.2971417791088,27.0524723134331,27.1761673238357,27.1082185836224,28.0527864220459,27.8499710036841,27.9274907768552,27.9536517974149,28.2773065868285,28.2174257536555,28.0667529160457,28.2102147434703
11,25.0917035902965,26.0854329445549,25.1565142626392,25.0152492025094,26.1586920020813,26.6431149160391,26.6531445603151,26.5713485215645,24.6915174330021,25.8078681608728,24.8925669496890,25.0525474564362,24.9374315572150,24.9341797238981,25.2887615328786,24.9062271860083
12,30.2382630152761,30.4249256596023,30.1493946645279,29.9576166605937,30.5358246297474,30.4468358697826,30.2825812592502,30.2844582412198,30.1855565599401,30.2915371465854,29.8704998634038,30.1236064300708,30.1241240039466,30.1327415790148,30.2576693040221,30.2128651130165
13,26.010478886097,26.5261756816355,26.4344146137182,25.9983308185493,27.5631007653743,27.6498214526013,27.695180635526,27.3425971464983,25.4595068083449,25.8505423453353,25.8880783145751,25.6903725317447,26.2000388119101,25.9388787017470,26.0584524764847,26.0940300098583
14,26.3558747169972,26.733110592172,26.5292871098147,26.4920275810161,28.0820562707317,28.3735438557422,28.2009843834868,28.0617154900393,25.5311820828175,25.5649487196266,26.0718013831721,25.6767678143838,26.9654285847031,27.0598043816619,26.8188943864738,26.9590726471612
15,23.5900732771664,25.0094221933553,23.5491725416759,24.2443319878025,23.5780310159453,24.1827645757790,23.3108937882137,22.7979106200621,27.7978130349597,23.0157646721719,22.8751616071274,24.7230606857410,24.4608154674523,21.5606482211143,22.5125485886826,23.5728877227508
16,22.4536284876558,27.4039558250888,22.6719374497421,27.2957782375133,27.6415961510658,22.1312036543067,27.8268589897108,26.4498412049167,26.125114838937,27.7206149509713,27.4607011994858,27.4144690106060,26.1265146683035,26.0725363023498,27.017292286196,25.9535567431507
17,25.1760403877330,25.3043040692744,24.9671082867390,26.2899472562536,27.4558613643971,27.5730351076328,27.0921294651276,26.8848740628425,24.7149151282010,24.6858587699370,25.1282684921416,24.7030576097204,26.3298278803240,26.9170551061017,26.4448371312629,26.8048798823114
18,25.7157365188104,25.8660654228460,25.8536204997921,26.1293775585515,26.7351006988843,26.9557798567438,26.8672864522740,27.2078329920979,25.8793458748018,25.6046573870392,25.7574613764585,25.7698353617006,26.1519039694253,26.2182481417797,26.0654692462803,26.0718786425147
19,22.5721689927422,23.7346665218820,24.0777276272544,24.0988368581214,25.4842463291666,26.7476659596798,26.8397552197995,26.0164324913541,24.0975933392888,23.9650302448205,24.5521797607474,24.0243966551433,24.1075714770454,24.2090870148014,23.2298785600433,23.9757629481100
20,23.1971726628271,22.1478246402402,22.8173821569108,22.8493205400220,22.8904618076339,22.7094662811752,21.4203109051337,23.4016610060572,22.2366848289601,22.5859208743867,24.5436008449949,23.3406934516583,22.7585903783329,23.0803555955184,22.2593119915474,22.1771420346013
21,29.5894423863693,29.8192179182932,29.8213721508126,29.7280675445249,29.0372214319507,29.1853934776927,29.374484156358,29.2788009339985,27.9931923310383,28.6085815067916,28.6967026409419,28.4108235212281,29.0307963666515,29.1305567958427,29.0168342758913,28.9705125616145
22,24.1587475691645,23.5792715050746,22.5831506219581,23.7434303038028,22.8066025395491,22.9109822902335,25.2634876925617,23.4502274776557,24.6979641891763,23.2416732973403,24.1898881863757,23.8590743271077,23.3786633483012,23.6282651090606,21.7718066365891,23.0648649060491
23,29.6013063044613,29.5009553992273,29.5532535333748,29.9359847629366,30.6420050790766,31.3718631641803,31.3781993359539,30.7354324207892,28.7839381039649,29.0746201877082,28.8761715405912,28.8186701677357,30.1845183045936,30.2063607809447,30.4360174753328,30.3795034391289
24,26.6061901007097,28.2832675676362,28.1756861748013,26.9188561568528,29.1598619868939,29.7454886048062,29.700438863423,29.8776105448769,27.6994809083477,28.4168606957911,28.6142723721009,28.1065860237602,26.9247448366818,27.3035120406895,26.8854660812625,26.8284770413663
25,22.4487221833340,23.436037451188,22.1536850257552,23.2536553397228,23.2544439748858,24.7001865930852,24.1090686955919,22.7361007364372,22.9081611503151,24.1304975000132,24.3464441102515,23.4374972394201,23.8519636974383,23.2298990483329,23.4818064620904,23.8402307921384
